group,tumor_variability,normal_variability,variability
MINDY3,4.103221859779669,4.035617756997718,16.559034998228036
NAF1,4.233630579034461,3.9075080901129158,16.542945738126583
CACNA1D,4.219134125154229,3.912910944939554,16.50909609648395
GDA,4.167234404185178,3.9572120451223247,16.49063017908974
TTLL12,4.198660580027411,3.9259640377661644,16.48379044397404
ZNF326,4.202730338527764,3.9208826204358536,16.478412342712
ATP9B,4.222566712595625,3.892204901141778,16.435094854162816
GFM1,4.10769918883808,3.9830715715269225,16.361259863445156
GLRX2,4.141859078176619,3.9447864063293947,16.338749388523127
RNF168,4.191367660054309,3.8954484346170455,16.327256590263065
ARHGAP23,4.058012356539655,4.014446445917309,16.290673282199144
NDUFB6,4.129123429442792,3.9431694284843193,16.28183327341715
CEP295,4.25428926809554,3.813660078443147,16.224413143885076
C1orf198,4.1305949706523695,3.925200274325854,16.213412511933672
WDR11,4.151578030526965,3.903873139736472,16.20723396089426
MTRES1,4.062036111860502,3.9894047805939783,16.205106283601662
ENTPD1-AS1,4.1019132319464315,3.9484237294360027,16.196091541104817
CAPN2,4.020574057338488,4.017431772549932,16.15238196184163
TTC39C,4.083500234859261,3.9552112570103635,16.15110609691981
KCTD6,4.0145234017204805,4.021271147043162,16.143487124468134
DNAAF5,4.055106298321868,3.965616883527193,16.08099800112266
GINS3,4.056428214502871,3.963986261321887,16.079625712327854
ATAD3B,4.191478371088493,3.8306116224377216,16.055925763487913
MPRIP,4.126269267559469,3.8897267284681827,16.0500598588829
NPEPPS,4.1157189740448406,3.89663656149183,16.03746103108877
FASN,4.213731842501342,3.8035310124268,16.027059741004173
SDSL,3.95589064239865,4.0379219233179375,15.973577551189788
MANBAL,4.125652259368513,3.8695752859805324,15.964522021402143
SYT17,3.869873527392259,4.124692618446825,15.962038772757627
ERAP1,4.119385212751597,3.8665833664451457,15.927946343605424
ATP11A,4.064740158077632,3.91619454525639,15.91831323494822
PLEKHH1,4.131252135064736,3.852644491973316,15.916245783110158
TIMP2,4.10951150276764,3.8673576745964775,15.892950849070937
NCS1,4.157384916072754,3.8180343830181425,15.87303855300677
MARS1,4.095143824048976,3.8758348243897998,15.872101044133835
AGPAT3,3.919476090840665,4.046651754009364,15.860754797798144
C12orf76,3.971132354403095,3.9900732923775677,15.84510914780024
EPS15,4.066999329129611,3.89580373280647,15.844231167744548
DLEC1,3.9826682858053166,3.9778313816184063,15.842382889852773
MTSS2,4.291698316591532,3.6891086010638894,15.832541172909234
UROS,4.0803636877457325,3.8798903678691525,15.831363769487723
FKBP1A-SDCBP2,3.9443849515310094,4.010454053755132,15.818774618438278
SH2D6,4.11276358395363,3.845335615314003,15.814956286743353
ZNF100,4.14668588108538,3.8132130539177007,15.812196732250994
RGPD8,3.886840861006042,4.0614293140459905,15.786129411921696
NSD2,4.162953970416548,3.790554186729524,15.779902601724741
FAM3B,4.126622922017578,3.823413931104633,15.777787568457715
FUT8,4.1163401637232315,3.832750709994911,15.776905685090785
TBX19,3.9306290942727298,4.003160346341413,15.734938526368454
TCAF1,4.084816076436077,3.846870451125978,15.713758262726298
CLIP1,4.113842153058108,3.819464408041473,15.712673683906146
ATP2C2,4.074576485671933,3.8525155669989135,15.697369339978849
TRMT44,4.026409877990362,3.890662138848091,15.665400467781064
ARID2,4.044945769944661,3.8628374258168403,15.624967905541752
CAMKK2,4.115464062687937,3.7965190584477675,15.62443774835163
UVRAG,4.031677433143166,3.8734055350575627,15.616321685103406
PILRB,4.140351221315464,3.771516288955899,15.61540207318972
PLSCR1,4.216629321380739,3.70273529883421,15.613062230375803
ATP6AP1L,4.007881401694776,3.8927528929320734,15.601691920975995
PRSS53,3.9972171151097813,3.893962942959325,15.565015321200267
DDRGK1,3.9702088736831893,3.9183414981189433,15.55663418595291
